D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_382.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_382.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_382.jpg,0,0,0,0.6497864
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_670.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_670.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_670.jpg,0,0,0,0.6279418
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_724.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_724.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_724.jpg,0,0,0,0.6229097
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_792.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_792.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_792.jpg,0,0,0,0.6191623
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_860.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_860.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_860.jpg,0,0,0,0.6154376
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_930.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_930.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_930.jpg,0,0,0,0.6105061
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_43_998.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_43_998.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_43_998.jpg,0,0,0,0.6068335
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_069.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_069.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_069.jpg,0,0,0,0.6019711
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_137.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_137.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_137.jpg,0,0,0,0.59835
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_209.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_209.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_209.jpg,0,0.02400588,0,0.6206543
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_274.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_274.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_274.jpg,0,0.2027734,0,0.7070002
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_342.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_342.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_342.jpg,0,0.3826937,0,0.9467989
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_413.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_413.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_413.jpg,-0.05,0.6427272,0,1.434013
D:\pratikgujral\dataset\IMG\center_2018_07_16_17_11_44_485.jpg,D:\pratikgujral\dataset\IMG\left_2018_07_16_17_11_44_485.jpg,D:\pratikgujral\dataset\IMG\right_2018_07_16_17_11_44_485.jpg,-0.25,0.8633261,0,2.173052
